DiseaseName	Regulator	Target	RegulationDiretion	Experimental.method.for.lncRNA.target	ExpressionPattern	Experimental.method.for.lncRNA.expression	Data.accession	Data.accession2	influencedFunction	regulatoryMechanism	regulatoryType	levelOfRegulation	Drugs	cancerStemCell	hallmark	diseaseCategory	DiseaseName2	RegulatorType	TargetType	RegulatorEnsembleID	lncRegulatorPosition	TargetEnsembleID	lncTargetPosition	RegulatorEntrezID	TargetEntrezID	RegulatorAliases	TargetAliases	Evidence	PubMedID	RID	SearchregulatoryMechanism
Colorectal cancer	CYTOR	NRP1	positively-E	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	epithelial to mesenchymal transition(+);cancer progression(+);cell growth(+)	ceRNA(miR-206)	regulation	NA	NA	NA	Tissue Invasion and Metastasis;Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals	Cancer	Colorectal cancer	lncRNA	PCG	ENSG00000222041	GRCh38_2:87454781-87636740	ENSG00000099250	NA	112597	8829	C2orf59|LINC00152|NCRNA00152	BDCA4|CD304|NP1|NRP|VEGF165R	Long non-coding RNA 00152 functions as a competing endogenous RNA to regulate NRP1 expression by sponging with miRNA-206 in colorectal cancer;lnc00152 overexpression promoted epithelial-mesenchymal transition (EMT) and increased neuropilin-1 (NRP1) expression in the CRC cells;the critical role of lnc00152 in tumor growth and progression in CRC	29956750	RID00036	ceRNA or sponge
Colon cancer	MALAT1	HMGB1	positively-E	luciferase reporter assay;western blot	upregulation	qRT-PCR	NA	NA	cancer progression(+)	ceRNA(miR-129-5p)	regulation	NA	NA	NA	NA	Cancer	Colon cancer	lncRNA	TF	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000189403	NA	378938	3146	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	HMG-1|HMG1|HMG3|SBP-1	LncRNA MALAT1 induces colon cancer development by regulating miR-129-5p/HMGB1 axis;miR-129-5p was identified and confirmed as a direct regulator of MALAT1;MALAT1 may serve as a competing endogenous lncRNA (ceRNA) to mediate HMGB1 by sponging miR-129-5p in colon cancer;miR-129-5p mimics were able to restrain the progression of colon cancer cells;Inhibition of MALAT1 can inhibit the proliferation of colon cancer	29226325	RID00037	ceRNA or sponge
Hepatocellular carcinoma	NEAT1	STAT3	positively-E	luciferase reporter assay;RIP;RNA pull-down assay	upregulation	qRT-PCR	NA	NA	cancer progression(+)	ceRNA(miR-485)	regulation	NA	NA	NA	NA	Cancer	Liver cancer	lncRNA	TF	ENSG00000245532	GRCh38_11:65422774-65445540	ENSG00000168610	NA	283131	6774	LINC00084|NCRNA00084|TncRNA|VINC	ADMIO|ADMIO1|APRF|HIES	The long noncoding RNA NEAT1 contributes to hepatocellular carcinoma development by sponging miR-485 and enhancing the expression of the STAT3;sh-STAT3 was able to restrain HCC cell migration and invasion process;NEAT1 inhibiton can repress HCC growth, migration, and invasion. NEAT1 paraspeckle promotes human hepatocellular carcinoma progression by strengthening IL-6/STAT3 signaling.Destruction of paraspeckle formation by silencing the paraspeckle essential components NEAT1_2 or NONO could suppress IL-6-induced STAT3 phosphorylation in HCC cells.Our results demonstrate that paraspeckle can nuclear entrap the inhibitors of IL-6/STAT3 signaling as well as DNA damage, and then strengthen the promoting effect on HCC progression by IL-6. Mechanistically, paraspeckle promotes IL-6-induced STAT3 phosphorylation by binding and trapping peroxiredoxin-5 (PRDX5) mRNA in nucleus, decreasing protein level of PRDX5 which can directly interact with STAT3 and inhibit STAT3 phosphorylation.	29219178;30377567	RID00038	ceRNA or sponge
Non-small cell lung cancer	MALAT1	STAT3	positively-E	luciferase reporter assay;RIP;RNA pull-down assay	upregulation	qRT-PCR	NA	NA	cancer progression(+)	ceRNA(miR-124)	regulation	NA	NA	NA	NA	Cancer	Lung cancer	lncRNA	TF	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000168610	NA	378938	6774	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	ADMIO|ADMIO1|APRF|HIES	The lncRNA MALAT1 contributes to non-small cell lung cancer development via modulating miR-124/STAT3 axis;Downregulation of MALAT1 can inhibit NSCLC development by enhancing miR-124 and decreasing STAT3 expression;shMALAT1 can inhibit NSCLC cell proliferation, colony formation and apoptosis	29215698	RID00039	ceRNA or sponge
Lung adenocarcinoma	SNHG5	CASP1	positively-E	luciferase reporter assay;RIP	downregulation	qRT-PCR	NA	NA	chemoresistance(-)	ceRNA(miR-377)	regulation	NA	gefitinib	NA	NA	Cancer	Lung cancer	lncRNA	PCG	ENSG00000203875	GRCh38_6:85650491-85678932	ENSG00000137752	NA	387066	834	C6orf160|LINC00044|NCRNA00044|U50HG	ICE|IL1BC|P45	The long non-coding RNA SNHG5 regulates gefitinib resistance in lung adenocarcinoma cells by targetting miR-377/CASP1 axis;SNHG5 overexpression sensitized gefitinib resistant; Overexpression of SNHG5 suppressed the expression of miR-377, while the knockdown of SNHG5 increased the miR-377 expression;CASP1 was predicted as a downstream target of miR-377	29592872	RID00040	ceRNA or sponge
Osteosarcoma	FOXP4-AS1	LATS1	negatively-E	RIP	upregulation	qRT-PCR	NA	NA	cancer progression(+)	epigenetic regulation	regulation	NA	NA	NA	NA	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000234753	GRCh38_6:41494853-41548621	ENSG00000131023	NA	101060264	9113	NA	WARTS|wts	FOXP4-AS1 participates in the development and progression of osteosarcoma by downregulating LATS1 via binding to LSD1 and EZH2;upregulation FOXP4-AS1 promotes the proliferation, migration and cell cycle, but inhibits apoptosis of OS cells	29859193	RID00041	epigenetic regulation
Urinary bladder cancer	TUG1	miR-29c	negatively-F	RNAi;luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell invasion(+);cell migration(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Urinary bladder cancer	lncRNA	miRNA	ENSG00000253352	GRCh38_22:30969245-30979395	NA	NA	55000	NA	LINC00080|NCRNA00080|TI-227H	NA	Upregulation of Long Noncoding RNA TUG1 Promotes Bladder Cancer Cell proliferation, Migration, and Invasion by Inhibiting miR-29c;There were direct interactions between miR-29c and the binding sites of TUG1	29321088	RID00042	ceRNA or sponge
Urinary bladder cancer	LNCRNA-ATB	miR-126	negatively-F	qRT-PCR;luciferase reporter assay	NA	NA	NA	NA	cell proliferation(+);cell invasion(+);cell migration(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Urinary bladder cancer	lncRNA	miRNA	NA	GRCh38_14:19126530-19128974	NA	NA	114004396	NA	NA	NA	Long Noncoding RNA ATB Promotes proliferation, Migration, and Invasion in Bladder Cancer by Suppressing MicroRNA-126;lncRNA-ATB overexpression significantly promoted cell viability, migration, and invasion in T24 cells;lncRNA-ATB was a molecular sponge of miR-126 and exerted tumor-promoting effects by downregulation of miR-126	29321082	RID00043	ceRNA or sponge
Retinoblastoma	SP1	PANDAR	positively-E	ChIP;luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cell growth(+);apoptosis process(-)	transcriptional regulation	binding/interaction	protien-DNA	NA	NA	Sustained Angiogenesis	Cancer	Retinoblastoma	TF	lncRNA	ENSG00000185591	NA	ENSG00000281450	GRCh38_6:36673621-36675126	6667	101154753	NA	PANDA	SP1-induced upregulation of lncRNA PANDAR predicts adverse phenotypes in retinoblastoma and regulates cell growth and apoptosis in vitro and in vivo;SP1 could bind directly to the PANDAR promoter region and activate its transcription;PANDAR was increased in RB tissues and cells, and this upregulation was associated with advanced IIRC stage, positive optic nerve invasion, and lower differentiation grade in RB patients	29778422	RID00044	transcriptional regulation
Colorectal cancer	STAT1	LINC00174	positively-E	luciferase reporter assay;RNA pull-down assay;RNAi;JARSPAR	upregulation	sequencing	TCGA	COAD.zip	cancer progression(+);prognosis(+)	transcriptional regulation	regulation	NA	NA	NA	NA	Cancer	Colorectal cancer	TF	lncRNA	ENSG00000115415	NA	ENSG00000179406	GRCh38_7:66376044-66493566	6772	285908	CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91	NCRNA00174	STAT1-mediated upregulation of lncRNA LINC00174 functions a ceRNA for miR-1910-3p to facilitate colorectal carcinoma progression through regulation of TAZ;the aberrant overexpression of LINC00174 indicated the poor prognosis of CRC patients;transcription factor STAT1 mediated LINC00174 expression in CRC	29729381	RID00045	transcriptional regulation
Colorectal cancer	LINC00174	TAZ	positively-E	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cancer progression(+);prognosis(+)	ceRNA(miR-1910-3p)	regulation	NA	NA	NA	NA	Cancer	Colorectal cancer	lncRNA	PCG	ENSG00000179406	GRCh38_7:66376044-66493566	ENSG00000102125	NA	285908	6901	NCRNA00174	BTHS|CMD3A|EFE|EFE2|G4.5|LVNCX|Taz1	STAT1-mediated upregulation of lncRNA LINC00174 functions a ceRNA for miR-1910-3p to facilitate colorectal carcinoma progression through regulation of TAZ;the aberrant overexpression of LINC00175 indicated the poor prognosis of CRC patients;LINC00174 contributed to CRC progression by regulating miR-1910-3p/TAZ signal pathway	29729381	RID00046	ceRNA or sponge
Non-small cell lung cancer	TP73-AS1	EZH2	positively-E	RIP;RNA pull-down assay	upregulation	qRT-PCR	NA	NA	cancer progression(+)	epigenetic regulation;ceRNA(miR-449a)	regulation	NA	NA	NA	NA	Cancer	Lung cancer	lncRNA	PCG	ENSG00000227372	GRCh38_1:3735511-3747373	ENSG00000106462	NA	57212	2146	KIAA0495|PDAM	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long noncoding RNA TP73-AS1 promotes non-small cell lung cancer progression by competitively sponging miR-449a/EZH2;miR-449a both targeted the 3'-UTR of TP73-AS1 and EZH2;the knockdown of TP73-AS1 inhibited NSCLC cell proliferation, tumor growth and cycle progression in vivo and in vitro	29803931	RID00047	epigenetic regulation;ceRNA or sponge
Triple-receptor negative breast cancer	GAS5	miR-196a-5p	negatively-F	qRT-PCR;luciferase reporter assay	downregulation	qRT-PCR	NA	NA	cancer progression(-);cell proliferation(-);cell invasion(-)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Breast cancer	lncRNA	miRNA	ENSG00000234741	GRCh38_1:173858559-173868882	NA	NA	60674	NA	NCRNA00030|SNHG2	NA	Long noncoding RNA GAS5 suppresses triple negative breast cancer progression through inhibition of proliferation and invasion by competitively binding miR-196a-5p;GAS5 can bind to miR-196a-5p and there is a negative relationship between GAS5 and miR-196a-5p expression;GAS5 functioned as a competing endogenous RNA (ceRNA) antagonizing tumor promotion of miR-196a-5p-expressing TNBC cells	29793177	RID00048	ceRNA or sponge
Endometrial cancer	MIR22HG	DAPK1	positively-E	RNAi;qRT-PCR	downregulation	qRT-PCR	NA	NA	cell proliferation(-)	ceRNA(miR-141-3p)	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Endometrial cancer	lncRNA	PCG	ENSG00000186594	GRCh38_17:1711493-1717174	ENSG00000196730	NA	84981	1612	C17orf91	DAPK|ROCO3	LncRNA MIR22HG negatively regulates miR-141-3p to enhance DAPK1 expression and inhibits endometrial carcinoma cells proliferation;miR-141-3p was identified and confirmed to be the target of MIR22HG;DAPK1 was confirmed to be regulated by MIR22HG and miR-141-3p	29775889	RID00049	ceRNA or sponge
Chronic myeloid leukemia	MEG3	miR-21	negatively-E	RNA pull-down assay;RIP;ChIP	downregulation	qRT-PCR	NA	NA	cell proliferation(-);apoptosis process(+)	epigenetic regulation;sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Cancer	Leukemia	lncRNA	miRNA	ENSG00000214548	GRCh38_14:100779410-100861031	NA	NA	55384	NA	FP504|GTL2|LINC00023|NCRNA00023|PRO0518|PRO2160|onco-lncRNA-83|prebp1	NA	Long noncoding RNA MEG3 inhibits proliferation of chronic myeloid leukemia cells by sponging microRNA21;Overexpression of MEG3 and silencing the expression of miR-21 inhibited proliferation and induced apoptosis.lncRNA MEG3 and its target miR21 may serve as novel therapeutic targets for CML blast crisis; and demethylation drugs might also have potential clinical application in treating CML blast crisis.	29772439	RID00050	epigenetic regulation;ceRNA or sponge
Pancreatic cancer	MIAT	miR-133a	negatively-F	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell metastasis(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Pancreatic cancer	lncRNA	miRNA	ENSG00000225783	GRCh38_22:26646411-26676475	NA	NA	440823	NA	C22orf35|GOMAFU|LINC00066|NCRNA00066|RNCR2|lncRNA-MIAT	NA	The interaction of long non-coding RNA MIAT and miR-133 play a role in the proliferation and metastasis of pancreatic carcinoma;Bioinformatics analysis and luciferase reporter assay validated that miR-133 may target MIAT 3'-UTR;	29772434	RID00051	ceRNA or sponge
Hepatocellular carcinoma	SOX21-AS1	CDKN1A	negatively-E	RIP;ChIP	upregulation	qRT-PCR	NA	NA	cancer progression(+);prognosis	epigenetic regulation	regulation	NA	NA	NA	NA	Cancer	Liver cancer	lncRNA	PCG	ENSG00000227640	GRCh38_13:94703454-94803430	ENSG00000124762	NA	100507533	1026	NA	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	LncRNA SOX21-AS1 is associated with progression of hepatocellular carcinoma and predicts prognosis through epigenetically silencing p21;SOX21-AS1 epigenetically silenced p21 via recruiting EZH2 to the promoter of p21;SOX21-AS1 can interact with p21 to affect hepatocellular carcinoma progression	29772433	RID00052	epigenetic regulation
Osteosarcoma	DICER1-AS1	ATG5	positively-E	luciferase reporter assay;RIP;western blot	upregulation	microarray;RT-PCR	NA	NA	cell proliferation(+);cell invasion(+);cell autophagy(+)	ceRNA(miR-30b)	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis;Evading Apoptosis	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000235706	GRCh38_14:95157645-95181475	ENSG00000057663	NA	400242	9474	DICER1-AS	APG5|APG5-LIKE|APG5L|ASP|SCAR25|hAPG5	LncRNA DICER1-AS1 promotes the proliferation, invasion and autophagy of osteosarcoma cells via miR-30b/ATG5;miR-30b was verified to target 3'-UTR of DICER1-AS1 and ATG5	29772430	RID00053	ceRNA or sponge
Tongue squamous cell carcinoma	CASC15	miR-33a-5p	negatively-E	RNAi	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell cycle(+);cell migration(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Oral cavity cancer	lncRNA	miRNA	ENSG00000272168	GRCh38_6:21664185-22654455	NA	NA	401237	NA	CANT|LINC00340|lnc-SOX4-1	NA	Long non-coding RNA CASC15 promotes tongue squamous carcinoma progression through targeting miR-33a-5p; Moreover, we showed that the expression of CASC15 was negatively related with miR-33a-5p expression in TSCC tissues.Ectopic expression of CASC15 promoted TSCC cell proliferation, cycle, and migration through targeting miR-33a-5p	29804249	RID00054	expression association
Non-small cell lung cancer	FOXO1	RP11-838N2.4	negatively-E	ChIP	upregulation	microarray;RT-PCR	NA	NA	chemoresistance(+)	histone modification	binding/interaction	RNA-RNA	erlotinib	NA	NA	Cancer	Lung cancer	TF	lncRNA	ENSG00000150907	NA	ENSG00000266835	GRCh38_18:3466250-3478978	2308	NA	FKH1|FKHR|FOXO1A	NA	Exosome-mediated transfer of lncRNA RP11-838N2.4 promotes erlotinib resistance in non-small cell lung cancer.forkhead box protein O1 (FOXO1) could bind to the promoter region of lncRNA RP11-838N2.4, resulting in its silencing through the recruitment of histone deacetylase.	29845246	RID00055	epigenetic regulation
Hepatocellular carcinoma	FTX	PPARG	positively-E	RNAi	upregulation	qRT-PCR	NA	NA	glucose metabolic process(+);cancer progression(+)	NA	association	NA	NA	NA	Reprogramming Energy Metabolism	Cancer	Liver cancer	lncRNA	TF	ENSG00000230590	GRCh38_X:73940435-74293574	ENSG00000132170	NA	100302692	5468	LINC00182|MIR374AHG|NCRNA00182	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma	lncRNA Ftx promotes aerobic glycolysis and tumor progression through the PPARgamma pathway in hepatocellular carcinoma;peroxisome proliferator-activated receptor gamma (PPARgamma) expression in human HCC tissues and cell lines was positively correlated with lncRNA Ftx	29845188	RID00056	expression association
Laryngeal squamous cell carcinoma	MIR31HG	miR-31	negatively-E	RNAi	upregulation	qRT-PCR	NA	NA	cancer progression(+);cell growth(+);cell cycle(+);cell invasion(+)	NA	association	NA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Larynx cancer	lncRNA	miRNA	ENSG00000171889	GRCh38_9:21410969-21559900	NA	NA	554202	NA	LncHIFCAR|hsa-lnc-31	NA	Long non-coding RNA LOC554202 promotes laryngeal squamous cell carcinoma progression through regulating miR-31;LOC554202 increased LSCC cell growth, cell cyle and cell invasion through suppressing miR-31 expression.Moreover, the expression of miR-31 was negatively correlated with the expression of LOC554202 in LSCC tissues.	29737563	RID00057	expression association
Osteosarcoma	BTG3-AS1	miR-21	negatively-E	qRT-PCR	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell migration(+);cell invasion(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Osteosarcoma	lncRNA	miRNA	ENSG00000280594	GRCh38_21:17611744-17633199	NA	NA	110806272	NA	NA	NA	Long non-coding RNA ASBEL promotes osteosarcoma cell proliferation, migration,and invasion by regulating microRNA-21;Knockdown of ASBEL inhibited osteosarcoma cell viability, migration, and invasion, as well as the expression level of miR-21;PP2A was a direct target of miR-21;we verified that ASBEL-miR-21-PP2A pathway might play critical regulatory effects on the pathogenesis of osteosarcoma	29323740	RID00058	expression association
Hepatocellular carcinoma	CASC2	miR-24-3p	negatively-E	RNAi	downregulation	qRT-PCR	NA	NA	cell viability(-);apoptosis process(+)	NA	association	NA	NA	NA	Evading Apoptosis	Cancer	Liver cancer	lncRNA	miRNA	ENSG00000177640	GRCh38_10:118046279-118210158	NA	NA	255082	NA	C10orf5	NA	LncRNA CASC2 inhibited the viability and induced the apoptosis of hepatocellular carcinoma cells through regulating miR-24-3p;the expression of CASC2 was negatively related to miR-24-3p expression in the HCC tissues;CASC2 could negatively regulate the expression of miR-24-3p in vitro	29091305	RID00059	expression association
Gastric cancer	TFAP4	TRERNA1	positively-E	luciferase reporter assay;ChIP	upregulation	qRT-PCR	NA	NA	cell migration(+);cell invasion(+)	transcriptional regulation	binding/interaction	protien-DNA	NA	NA	Tissue Invasion and Metastasis	Cancer	Gastric cancer	TF	lncRNA	ENSG00000090447	NA	ENSG00000231265	GRCh38_20:50040716-50041504	7023	100887755	AP-4|bHLHc41	LINC00651|treRNA	Elevated TFAP4 regulates lncRNA TRERNA1 to promote cell migration and invasion in gastric cancer;TFAP4 specifically regulated the transcriptional activity of TRERNA1 by binding to the E box motifs in the TRERNA1 promoter;TRERNA1 was upregulation in gastric carcinogenesis and promoted cell migration and invasion in GC	29845218	RID00061	transcriptional regulation
Pancreatic cancer	PVT1	TGFB1	negatively-E	RNAi	upregulation	qRT-PCR	NA	NA	epithelial to mesenchymal transition(+);TGF-beta/SMAD signaling pathway(+)	NA	association	NA	NA	NA	Tissue Invasion and Metastasis	Cancer	Pancreatic cancer	lncRNA	PCG	ENSG00000249859	GRCh38_8:127794526-128187101	ENSG00000105329	NA	5820	7040	LINC00079|MIR1204HG|NCRNA00079|onco-lncRNA-100	CED|DPD1|IBDIMDE|LAP|TGFB|TGFbeta	PVT1 promoted the growth and the epithelial mesenchymal transition;knockdown of PVT1 inhibited the TGF-beta/Smad signaling, including p-Smad2/3 and TGF-beta1 but enhanced the expression of Smad4	29845201	RID00062	expression association
